aai	在
xiwanr	希望
xiwanrneng	希望能
xiwant	希望
xiwantneng	希望能
xiwanv	希望
xiwanvneng	希望能
xiwany	希望
xiwanyneng	希望能
xiwche	下车
xiwchu	写出
xiwci	下次
xiwda	下达
xiwdai	携带
xiwde	下的
xiwdie	下跌
xiwfa	下发
xiwfang	下方
xiwheng	牺牲
xiwhua	下滑
xiwhui	协会
xiwi	喜爱
xiwji	夏季
xiwjiang	下降
xiwke	侠客
xiwlai	下来
xiwle	下了
xiwlie	下列
xiwmen	厦门
xiwmenshi	厦门市
xiwmian	下面
xiwn	先
xiwnchang	现场
xiwncheng	县城
xiwndai	现代
xiwndaihua	现代化
xiwnde	显得
xiwnding	限定
xiwne	限额
xiwnfa	宪法
xiwnfeng	先锋
xiwng	想
xiwngbi	相比
xiwngce	相册
xiwngcha	相差
xiwngchu	相处
xiwngcun	乡村
xiwngdang	相当
xiwngdangyu	相当于
xiwngdao	想到
xiwngde	想的
xiwngdichu	相抵触
xiwngdui	相对
xiwngduiyu	相对于
xiwngfa	想法
xiwngfan	相反
xiwnggang	香港
xiwngguan	相关
xiwnghu	相互
xiwngji	相机
xiwngjiao	香蕉
xiwngjiehe	相结合
xiwnglian	相连
xiwngmu	项目
xiwngni	向你
xiwngpian	相片
xiwngqi	想起
xiwngqian	向前
xiwngqing	详情
xiwngrang	想让
xiwngshang	向上
xiwngshehui	向社会
xiwngshi	像是
xiwngshiying	相适应
xiwngshou	享受
xiwngshui	香水
xiwngsi	相似
xiwngsu	像素
xiwngta	向他
xiwngtong	相同
xiwngwai	向外
xiwngwang	向往
xiwngwei	香味
xiwngwo	向我
xiwngxi	详细
xiwngxia	向下
xiwngxiang	想象
xiwngxiangde	想象的
xiwngxin	相信
xiwngyao	想要
xiwngying	相应
xiwngyou	享有
xiwngyu	相遇
xiwngzai	想在
xiwngzhe	想着
xiwngzhen	乡镇
xiwngzheng	象征
xiwnhou	先后
xiwnhua	鲜花
xiwnhuo	现货
xiwnjia	现价
xiwnjiang	现将
xiwnjie	衔接
xiwnjin	现金
xiwnjinde	先进的
xiwnjing	陷阱
xiwnka	显卡
xiwnming	鲜明
xiwnmu	羡慕
xiwnqi	嫌弃
xiwnqian	先前
xiwnran	显然
xiwnren	现任
xiwnru	陷入
xiwnshang	线上
xiwnsheng	先生
xiwnshi	显示
xiwnshichu	显示出
xiwnshide	现实的
xiwnshiping	显示屏
xiwnshiqi	显示器
xiwnsuo	线索
xiwntiao	线条
xiwnwei	纤维
xiwnxiang	现象
xiwnxing	现行
xiwnyi	现已
xiwnyou	现有
xiwnzai	现在
xiwnzaishi	现在是
xiwnzhengfu	县政府
xiwnzhi	限制
xiwnzhu	显著
xiwnzhuang	现状
xiwnzhude	显著的
xiwo	小
xiwochu	消除
xiwodao	笑到
xiwode	小的
xiwodi	小弟
xiwodian	笑点
xiwodu	消毒
xiwoer	小儿
xiwofang	消防
xiwofei	消费
xiwofeipin	消费品
xiwofeizhe	消费者
xiwoguo	效果
xiwohai	小孩
xiwohaizi	小孩子
xiwohao	消耗
xiwohua	笑话
xiwohuozi	小伙子
xiwojie	小姐
xiwoli	效力
xiwoliang	销量
xiwolv	效率
xiwomai	小麦
xiwomie	消灭
xiwoneng	效能
xiwonvhai	小女孩
xiwopengyou	小朋友
xiwoqu	小区
xiworong	笑容
xiwosheng	笑声
xiwoshi	小时
xiwoshihou	小时候
xiwoshinei	小时内
xiwoshou	销售
xiwoshoue	销售额
xiwoshuo	小说
xiwoxi	消息
xiwoxiao	小小
xiwoxin	小心
xiwoxing	小型
xiwoxue	小学
xiwoxuesheng	小学生
xiwoyao	逍遥
xiwoyi	效益
xiwoying	效应
xiwoyouxi	小游戏
xiwoyu	小于
xiwoyuan	校园
xiwozhang	校长
xiwozi	小子
xiwozu	小组
xiwqng	希望
xiwqngneng	希望能
xiwqu	下去
xiwru	写入
xiwshang	协商
xiwshou	携手
xiwshu	下属
xiwsng	希望
xiwsngneng	希望能
xiwtian	夏天
xiwtiao	协调
xiwtong	协同
xiwutiao	第五条
xiwuzhang	第五章
xiwwng	希望
xiwwngneng	希望能
xiwwu	下午
xiwxie	谢谢
xiwxng	希望
xiwxngneng	希望能
xiwyi	协议
xiwyibu	下一步
xiwyige	下一个
xiwyipi	下一批
xiwyipian	下一篇
xiwyiye	下一页
xiwzai	下载
xiwzhen	写真
xiwzhu	协助
xiwzi	鞋子
xiwzilou	写字楼
xiwzng	希望
xiwzngneng	希望能
xiwzuo	写作
xix	下
xixang	西藏
xixao	洗澡
xixche	下车
xixci	下次
xixda	下达
xixde	下的
xixdie	下跌
xixe	细则
xixfa	下发
xixfang	下方
xixheng	牺牲
xixhi	细致
xixhua	下滑
xixingche	自行车
xixji	夏季
xixjiang	下降
xixke	侠客
xixlai	下来
xixle	下了
xixlie	下列
xixmen	厦门
xixmenshi	厦门市
xixmian	下面
xixn	先
xixnchang	现场
xixncheng	县城
xixndai	现代
xixndaihua	现代化
xixnde	显得
xixnding	限定
xixne	限额
xixnfa	宪法
xixnfeng	先锋
xixng	想
xixngbi	相比
xixngce	相册
xixngcha	相差
xixngchu	相处
xixngcun	乡村
xixngdang	相当
xixngdangyu	相当于
xixngdao	想到
xixngde	想的
xixngdichu	相抵触
xixngdui	相对
xixngduiyu	相对于
xixngfa	想法
xixngfan	相反
xixnggang	香港
xixngguan	相关
xixnghu	相互
xixngji	相机
xixngjiao	香蕉
xixngjiehe	相结合
xixnglian	相连
xixngmu	项目
xixngni	向你
xixngpian	相片
xixngqi	想起
xixngqian	向前
xixngqing	详情
xixngrang	想让
xixngshang	向上
xixngshehui	向社会
xixngshi	像是
xixngshiying	相适应
xixngshou	享受
xixngshui	香水
xixngsi	相似
xixngsu	像素
xixngta	向他
xixngtong	相同
xixngwai	向外
xixngwang	向往
xixngwei	香味
xixngwo	向我
xixngxi	详细
xixngxia	向下
xixngxiang	想象
xixngxiangde	想象的
xixngxin	相信
xixngyao	想要
xixngying	相应
xixngyou	享有
xixngyu	相遇
xixngzai	想在
xixngzhe	想着
xixngzhen	乡镇
xixngzheng	象征
xixnhou	先后
xixnhua	鲜花
xixnhuo	现货
xixnjia	现价
xixnjiang	现将
xixnjie	衔接
xixnjin	现金
xixnjinde	先进的
xixnjing	陷阱
xixnka	显卡
xixnming	鲜明
xixnmu	羡慕
xixnqi	嫌弃
xixnqian	先前
xixnran	显然
xixnren	现任
xixnru	陷入
xixnshang	线上
xixnsheng	先生
xixnshi	显示
xixnshichu	显示出
xixnshide	现实的
xixnshiping	显示屏
xixnshiqi	显示器
xixnsuo	线索
xixntiao	线条
xixnwei	纤维
xixnxiang	现象
xixnxing	现行
xixnyi	现已
xixnyou	现有
xixnzai	现在
xixnzaishi	现在是
xixnzhengfu	县政府
xixnzhi	限制
xixnzhu	显著
xixnzhuang	现状
xixnzhude	显著的
xixo	小
xixochu	消除
xixodao	笑到
xixode	小的
xixodi	小弟
xixodian	笑点
xixodu	消毒
xixoer	小儿
xixofang	消防
xixofei	消费
xixofeipin	消费品
xixofeizhe	消费者
xixoguo	效果
xixohai	小孩
xixohaizi	小孩子
xixohao	消耗
xixohua	笑话
xixohuozi	小伙子
xixojie	小姐
xixoli	效力
xixoliang	销量
xixolv	效率
xixomai	小麦
xixomie	消灭
xixoneng	效能
xixonvhai	小女孩
xixopengyou	小朋友
xixoqu	小区
xixorong	笑容
xixosheng	笑声
xixoshi	小时
xixoshihou	小时候
xixoshinei	小时内
xixoshou	销售
xixoshoue	销售额
xixoshuo	小说
xixoxi	消息
xixoxiao	小小
xixoxin	小心
xixoxing	小型
xixoxue	小学
xixoxuesheng	小学生
xixoyao	逍遥
xixoyi	效益
xixoying	效应
xixoyouxi	小游戏
xixoyu	小于
xixoyuan	校园
xixozhang	校长
xixozi	小子
xixozu	小组
xixqu	下去
xixshu	下属
xixtian	夏天
xixwu	下午
xixyibu	下一步
xixyige	下一个
xixyipi	下一批
xixyipian	下一篇
xixyiye	下一页
xixzai	下载
xiy	修
xiyab	吸烟
xiyag	吸烟
xiyah	吸烟
xiyaj	吸烟
xiyam	吸烟
xiyaozai	需要在
xiyding	修订
xiyfu	修复
xiygai	修改
xiyhe	喜悦
xiyib	吸引
xiyible	吸引了
xiyibli	吸引力
xiyibu	第一步
xiyie	细节
xiyig	吸引
xiyigle	吸引了
xiyigli	吸引力
xiyih	吸引
xiyihi	洗衣机
xiyihle	吸引了
xiyihli	吸引力
xiyiii	洗衣机
xiyij	吸引
xiyijie	第一节
xiyijj	洗衣机
xiyijk	洗衣机
xiyijl	洗衣机
xiyijle	吸引了
xiyijli	吸引力
xiyijo	洗衣机
xiyiju	洗衣机
xiyiki	洗衣机
xiyikuan	第一款
xiyim	吸引
xiyimi	洗衣机
xiyiming	第一名
xiyimle	吸引了
xiyimli	吸引力
xiyini	洗衣机
xiyinie	吸引了
xiyinii	吸引力
xiyinke	吸引了
xiyinki	吸引力
xiyinld	吸引了
xiyinlf	吸引了
xiyinlj	吸引力
xiyinlk	吸引力
xiyinll	吸引力
xiyinlo	吸引力
xiyinlr	吸引了
xiyinls	吸引了
xiyinlu	吸引力
xiyinlw	吸引了
xiyinme	吸引了
xiyinmi	吸引力
xiyinoe	吸引了
xiyinoi	吸引力
xiyinpe	吸引了
xiyinpi	吸引力
xiyipi	第一批
xiyitian	第一天
xiyitiao	第一条
xiyiui	洗衣机
xiyiwei	第一位
xiyiyi	洗衣机
xiyizhang	第一章
xiyje	喜悦
xiyjian	修建
xiyjji	洗衣机
xiyjn	吸引
xiyjnle	吸引了
xiyjnli	吸引力
xiyke	喜悦
xiykji	洗衣机
xiykn	吸引
xiyknle	吸引了
xiyknli	吸引力
xiyli	修理
xiylian	修炼
xiylji	洗衣机
xiyln	吸引
xiylnle	吸引了
xiylnli	吸引力
xiyoji	洗衣机
xiyon	吸引
xiyongshi	西红柿
xiyongzhong	系统中
xiyonle	吸引了
xiyonli	吸引力
xiyqn	吸烟
xiysn	吸烟
xiyua	西瓜
xiyud	喜悦
xiyuf	喜悦
xiyuji	洗衣机
xiyunle	吸引了
xiyunli	吸引力
xiyur	喜悦
xiyus	喜悦
xiyuw	喜悦
xiywn	吸烟
xiyxi	休息
xiyxian	休闲
xiyxing	修行
xiyxn	吸烟
xiyyang	修养
xiyye	喜悦
xiyzheng	修正
xiyzn	吸烟
xiz	下
xizabg	西藏
xizagg	西藏
xizahg	西藏
xizai	洗澡
xizajg	西藏
xizak	洗澡
xizal	洗澡
xizamg	西藏
xizanb	西藏
xizanf	西藏
xizanh	西藏
xizann	西藏
xizanr	西藏
xizant	西藏
xizanv	西藏
xizany	西藏
xizap	洗澡
xizbi	细致
xizche	下车
xizci	下次
xizd	细则
xizda	下达
xizde	下的
xizdie	下跌
xizf	细则
xizfa	下发
xizfang	下方
xizgi	细致
xizhiqu	自治区
xizhj	细致
xizhk	细致
xizhl	细致
xizho	细致
xizhua	下滑
xizhuti	此主题
xizibing	艾滋病
xizji	细致
xizjiang	下降
xizke	侠客
xizlai	下来
xizle	下了
xizlie	下列
xizmen	厦门
xizmenshi	厦门市
xizmi	细致
xizmian	下面
xizn	先
xiznchang	现场
xizncheng	县城
xizndai	现代
xizndaihua	现代化
xiznde	显得
xiznding	限定
xizne	限额
xiznfa	宪法
xiznfeng	先锋
xizng	想
xizngbi	相比
xizngce	相册
xizngcha	相差
xizngchu	相处
xizngcun	乡村
xizngdang	相当
xizngdangyu	相当于
xizngdao	想到
xizngde	想的
xizngdichu	相抵触
xizngdui	相对
xizngduiyu	相对于
xizngfa	想法
xizngfan	相反
xiznggang	香港
xizngguan	相关
xiznghu	相互
xizngji	相机
xizngjiao	香蕉
xizngjiehe	相结合
xiznglian	相连
xizngmu	项目
xizngni	向你
xizngpian	相片
xizngqi	想起
xizngqian	向前
xizngqing	详情
xizngrang	想让
xizngshang	向上
xizngshehui	向社会
xizngshi	像是
xizngshiying	相适应
xizngshou	享受
xizngshui	香水
xizngsi	相似
xizngsu	像素
xizngta	向他
xizngtong	相同
xizngwai	向外
xizngwang	向往
xizngwei	香味
xizngwo	向我
xizngxi	详细
xizngxia	向下
xizngxiang	想象
xizngxiangde	想象的
xizngxin	相信
xizngyao	想要
xizngying	相应
xizngyou	享有
xizngyu	相遇
xizngzai	想在
xizngzhe	想着
xizngzhen	乡镇
xizngzheng	象征
xiznhou	先后
xiznhua	鲜花
xiznhuo	现货
xizni	细致
xiznjia	现价
xiznjiang	现将
xiznjie	衔接
xiznjin	现金
xiznjinde	先进的
xiznjing	陷阱
xiznka	显卡
xiznming	鲜明
xiznmu	羡慕
xiznqi	嫌弃
xiznqian	先前
xiznran	显然
xiznren	现任
xiznru	陷入
xiznshang	线上
xiznsheng	先生
xiznshi	显示
xiznshichu	显示出
xiznshide	现实的
xiznshiping	显示屏
xiznshiqi	显示器
xiznsuo	线索
xizntiao	线条
xiznwei	纤维
xiznxiang	现象
xiznxing	现行
xiznyi	现已
xiznyou	现有
xiznzai	现在
xiznzaishi	现在是
xiznzhengfu	县政府
xiznzhi	限制
xiznzhu	显著
xiznzhuang	现状
xiznzhude	显著的
xizo	小
xizochu	消除
xizodao	笑到
xizode	小的
xizodi	小弟
xizodian	笑点
xizodu	消毒
xizoer	小儿
xizofang	消防
xizofei	消费
xizofeipin	消费品
xizofeizhe	消费者
xizoguo	效果
xizohai	小孩
xizohaizi	小孩子
xizohao	消耗
xizohua	笑话
xizohuozi	小伙子
xizojie	小姐
xizoli	效力
xizoliang	销量
xizolv	效率
xizomai	小麦
xizomie	消灭
xizoneng	效能
xizonvhai	小女孩
xizopengyou	小朋友
xizoqu	小区
xizorong	笑容
xizosheng	笑声
xizoshi	小时
xizoshihou	小时候
xizoshinei	小时内
xizoshou	销售
xizoshoue	销售额
xizoshuo	小说
xizoxi	消息
xizoxiao	小小
xizoxin	小心
xizoxing	小型
xizoxue	小学
xizoxuesheng	小学生
xizoyao	逍遥
xizoyi	效益
xizoying	效应
xizoyouxi	小游戏
xizoyu	小于
xizoyuan	校园
xizozhang	校长
xizozi	小子
xizozu	小组
xizqng	西藏
xizqo	洗澡
xizqu	下去
xizr	细则
xizs	细则
xizshu	下属
xizsng	西藏
xizso	洗澡
xizti	细致
xiztian	夏天
xizw	细则
xizwng	西藏
xizwo	洗澡
xizwu	下午
xizxng	西藏
xizxo	洗澡
xizyi	细致
xizyibu	下一步
xizyige	下一个
xizyipi	下一批
xizyipian	下一篇
xizyiye	下一页
xizzai	下载
xizzng	西藏
xizzo	洗澡
xj	洗
xja	下
xjache	下车
xjaci	下次
xjada	下达
xjade	下的
xjadie	下跌
xjafa	下发
xjafang	下方
xjahua	下滑
xjai	喜爱
xjaji	夏季
xjajiang	下降
xjake	侠客
xjalai	下来
xjale	下了
xjalie	下列
xjamen	厦门
xjamenshi	厦门市
xjamian	下面
xjan	先
xjanba	选拔
xjanbu	宣布
xjanchang	现场
xjancheng	县城
xjanchu	选出
xjanchuan	宣传
xjandai	现代
xjandaihua	现代化
xjande	显得
xjanding	选定
xjane	限额
xjanfa	宪法
xjanfeng	先锋
xjang	想
xjangbi	相比
xjangce	相册
xjangcha	相差
xjangchu	相处
xjangcun	乡村
xjangdang	相当
xjangdangyu	相当于
xjangdao	想到
xjangde	想的
xjangdichu	相抵触
xjangdui	相对
xjangduiyu	相对于
xjangfa	想法
xjangfan	相反
xjanggang	香港
xjangguan	相关
xjanghu	相互
xjangji	相机
xjangjiao	香蕉
xjangjiehe	相结合
xjanglian	相连
xjangmu	项目
xjangni	向你
xjangou	选购
xjangpian	相片
xjangqi	想起
xjangqian	向前
xjangqing	详情
xjangrang	想让
xjangshang	向上
xjangshehui	向社会
xjangshi	像是
xjangshiying	相适应
xjangshou	享受
xjangshui	香水
xjangsi	相似
xjangsu	像素
xjangta	向他
xjangtong	相同
xjangua	悬挂
xjangwai	向外
xjangwang	向往
xjangwei	香味
xjangwo	向我
xjangxi	详细
xjangxia	向下
xjangxiang	想象
xjangxiangde	想象的
xjangxin	相信
xjangyao	想要
xjangying	相应
xjangyou	享有
xjangyu	相遇
xjangzai	想在
xjangzhe	想着
xjangzhen	乡镇
xjangzheng	象征
xjanhou	先后
xjanhua	鲜花
xjanhuo	现货
xjanjia	现价
xjanjiang	现将
xjanjie	衔接
xjanjin	现金
xjanjinde	先进的
xjanjing	陷阱
xjanju	选举
xjanka	显卡
xjanlv	旋律
xjanming	鲜明
xjanmu	羡慕
xjanqi	嫌弃
xjanqian	先前
xjanqu	选取
xjanran	显然
xjanren	现任
xjanru	陷入
xjanshang	线上
xjansheng	先生
xjanshi	显示
xjanshichu	显示出
xjanshide	现实的
xjanshiping	显示屏
xjanshiqi	显示器
xjanshou	选手
xjansuo	线索
xjantiao	线条
xjanwei	纤维
xjanxiang	现象
xjanxing	现行
xjanyi	现已
xjanyong	选用
xjanyou	现有
xjanzai	现在
xjanzaishi	现在是
xjanze	选择
xjanzele	选择了
xjanzhengfu	县政府
xjanzhi	限制
xjanzhong	选中
xjanzhu	显著
xjanzhuan	旋转
xjanzhuang	现状
xjanzhude	显著的
xjao	小
xjaochu	消除
xjaodao	笑到
xjaode	小的
xjaodi	小弟
xjaodian	笑点
xjaodu	消毒
xjaoer	小儿
xjaofang	消防
xjaofei	消费
xjaofeipin	消费品
xjaofeizhe	消费者
xjaoguo	效果
xjaohai	小孩
xjaohaizi	小孩子
xjaohao	消耗
xjaohua	笑话
xjaohuozi	小伙子
xjaojie	小姐
xjaoli	效力
xjaoliang	销量
xjaolv	效率
xjaomai	小麦
xjaomie	消灭
xjaoneng	效能
xjaonvhai	小女孩
xjaopengyou	小朋友
xjaoqu	小区
xjaorong	笑容
xjaosheng	笑声
xjaoshi	小时
xjaoshihou	小时候
xjaoshinei	小时内
xjaoshou	销售
xjaoshoue	销售额
xjaoshuo	小说
xjaoxi	消息
xjaoxiao	小小
xjaoxin	小心
xjaoxing	小型
xjaoxue	小学
xjaoxuesheng	小学生
xjaoyao	逍遥
xjaoyi	效益
xjaoying	效应
xjaoyouxi	小游戏
xjaoyu	小于
xjaoyuan	校园
xjaozhang	校长
xjaozi	小子
xjaozu	小组
xjaqu	下去
xjashu	下属
xjatian	夏天
xjawu	下午
xjayibu	下一步
xjayige	下一个
xjayipi	下一批
xjayipian	下一篇
xjayiye	下一页
xjazai	下载
xjbanya	西班牙
xjbao	细胞
xjbei	西北
xjbu	西部
xjduo	许多
xjduoren	许多人
xje	些
xjebao	学报
xjechu	写出
xjedai	携带
xjedao	学到
xjede	写的
xjefei	学费
xjefen	学分
xjeguan	血管
xjehui	协会
xjeke	学科
xjele	写了
xjeli	学历
xjeqi	学期
xjeru	写入
xjeshang	协商
xjesheng	学生
xjeshi	学时
xjeshou	携手
xjeshu	学术
xjetiao	协调
xjetong	协同
xjewei	学位
xjexi	学习
xjexiao	学校
xjexie	谢谢
xjeye	血液
xjeyi	协议
xjeyuan	学院
xjezhe	学者
xjezhen	写真
xjezhu	协助
xjezi	鞋子
xjezilou	写字楼
xjezuo	写作
xjfang	西方
xjfen	细分
xjgua	西瓜
xjguan	习惯
xjhao	序号
xjhongshi	西红柿
xjhu	西湖
xjhuan	喜欢
xjji	袭击
xjjia	虚假
xjjie	细节
xjjing	洗净
xjjun	细菌
xjke	许可
xjkezheng	许可证
xjla	希腊
xjlie	系列
xjlu	西路
xjmenzi	西门子
xjn	新
xjnan	西南
xjnban	新版
xjncailiao	新材料
xjnchanpin	新产品
xjnche	新车
xjncheng	新城
xjnchou	薪酬
xjndai	信贷
xjnde	新的
xjndi	心底
xjnfang	信访
xjng	行
xjngai	性爱
xjngbie	性别
xjngcheng	形成
xjngchengle	形成了
xjngdong	行动
xjngfa	刑法
xjngfen	兴奋
xjngfu	幸福
xjngfude	幸福的
xjnggan	性感
xjngge	性格
xjngguang	星光
xjnghao	型号
xjngji	星级
xjngjiabi	性价比
xjngjian	兴建
xjngjiao	性交
xjnglai	醒来
xjngle	行了
xjngli	行李
xjngming	姓名
xjngneng	性能
xjngqi	兴起
xjngqiwu	星期五
xjngqu	兴趣
xjngren	行人
xjngrong	形容
xjngshenghuo	性生活
xjngshi	形式
xjngshide	形式的
xjngtai	形态
xjngu	新股
xjngwei	行为
xjngxiang	形象
xjngxing	星星
xjngyun	幸运
xjngzheng	行政
xjngzhi	性质
xjngzhuang	形状
xjngzou	行走
xjngzuo	星座
xjnhao	信号
xjnhua	新华
xjnhuan	循环
xjnhuashe	新华社
xjnhuawang	新华网
xjnhuifu	新回复
xjni	虚拟
xjnjia	询价
xjnjian	新建
xjnjiang	新疆
xjnjiapo	新加坡
xjnjishu	新技术
xjnkecheng	新课程
xjnku	辛苦
xjnkuan	新款
xjnlai	信赖
xjnlei	迅雷
xjnli	心里
xjnlian	训练
xjnling	心灵
xjnlixue	心理学
xjnmuzhong	心目中
xjnnian	新年
xjnniang	新娘
xjnpian	芯片
xjnpin	新品
xjnqing	心情
xjnqiu	寻求
xjnqu	新区
xjnren	信任
xjnshang	欣赏
xjnsheng	新生
xjnshiji	新世纪
xjnshiqi	新时期
xjnshou	新手
xjnshui	薪水
xjnsi	心思
xjnsu	迅速
xjntai	心态
xjntie	新帖
xjntou	心头
xjntuo	信托
xjnwen	新闻
xjnxi	信息
xjnxian	新鲜
xjnxiang	心想
xjnxihua	信息化
xjnxin	信心
xjnxing	新型
xjnxiwang	信息网
xjnyang	信仰
xjnyidai	新一代
xjnyilun	新一轮
xjnying	新颖
xjnyong	信用
xjnyongka	信用卡
xjnyu	信誉
xjnzang	心脏
xjnzeng	新增
xjnzhang	勋章
xjnzhao	寻找
xjnzhong	心中
xjong	兄
xjongbu	胸部
xjongdi	兄弟
xjonghou	雄厚
xjongmao	熊猫
xjqiu	需求
xjsheng	牺牲
xjshu	叙述
xjtong	系统
xjtongzhong	系统中
xju	修
xjuding	修订
xjufu	修复
xjugai	修改
xjujian	修建
xjuli	修理
xjulian	修炼
xjuxi	休息
xjuxian	休闲
xjuxing	修行
xjuyang	修养
xjuzheng	修正
xjwang	希望
xjwangneng	希望能
xjyan	吸烟
xjyao	需要
xjyaozai	需要在
xjyiji	洗衣机
xjyin	吸引
xjyinle	吸引了
xjyinli	吸引力
xjyue	喜悦
xjzang	西藏
xjzao	洗澡
xjze	细则
xjzhi	细致
xjzhou	徐州
xk	洗
xka	下
xkache	下车
xkaci	下次
xkada	下达
xkade	下的
xkadie	下跌
xkafa	下发
xkafang	下方
xkahua	下滑
xkai	喜爱
xkaji	夏季
xkajiang	下降
xkake	侠客
xkalai	下来
xkale	下了
xkalie	下列
xkamen	厦门
xkamenshi	厦门市
xkamian	下面
xkan	先
xkanba	选拔
xkanbu	宣布
xkanchang	现场
xkancheng	县城
xkanchu	选出
xkanchuan	宣传
xkandai	现代
xkandaihua	现代化
xkande	显得
xkanding	选定
xkane	限额
xkanfa	宪法
xkanfeng	先锋
xkang	想
xkangbi	相比
xkangce	相册
xkangcha	相差
xkangchu	相处
xkangcun	乡村
xkangdang	相当
xkangdangyu	相当于
xkangdao	想到
xkangde	想的
xkangdichu	相抵触
xkangdui	相对
xkangduiyu	相对于
xkangfa	想法
xkangfan	相反
xkanggang	香港
xkangguan	相关
xkanghu	相互
xkangji	相机
xkangjiao	香蕉
xkangjiehe	相结合
xkanglian	相连
xkangmu	项目
xkangni	向你
xkangou	选购
xkangpian	相片
xkangqi	想起
xkangqian	向前
xkangqing	详情
xkangrang	想让
xkangshang	向上
xkangshehui	向社会
xkangshi	像是
xkangshiying	相适应
xkangshou	享受
xkangshui	香水
xkangsi	相似
xkangsu	像素
xkangta	向他
xkangtong	相同
xkangua	悬挂
xkangwai	向外
xkangwang	向往
xkangwei	香味
xkangwo	向我
xkangxi	详细
xkangxia	向下
xkangxiang	想象
xkangxiangde	想象的
xkangxin	相信
xkangyao	想要
xkangying	相应
xkangyou	享有
xkangyu	相遇
xkangzai	想在
xkangzhe	想着
xkangzhen	乡镇
xkangzheng	象征
xkanhou	先后
xkanhua	鲜花
xkanhuo	现货
xkanjia	现价
xkanjiang	现将
xkanjie	衔接
xkanjin	现金
xkanjinde	先进的
xkanjing	陷阱
xkanju	选举
xkanka	显卡
xkanlv	旋律
xkanming	鲜明
xkanmu	羡慕
xkanqi	嫌弃
xkanqian	先前
xkanqu	选取
xkanran	显然
xkanren	现任
xkanru	陷入
xkanshang	线上
xkansheng	先生
xkanshi	显示
xkanshichu	显示出
xkanshide	现实的
xkanshiping	显示屏
xkanshiqi	显示器
xkanshou	选手
xkansuo	线索
xkantiao	线条
xkanwei	纤维
xkanxiang	现象
xkanxing	现行
xkanyi	现已
xkanyong	选用
xkanyou	现有
xkanzai	现在
xkanzaishi	现在是
xkanze	选择
xkanzele	选择了
xkanzhengfu	县政府
xkanzhi	限制
xkanzhong	选中
xkanzhu	显著
xkanzhuan	旋转
xkanzhuang	现状
xkanzhude	显著的
xkao	小
xkaochu	消除
xkaodao	笑到
xkaode	小的
xkaodi	小弟
xkaodian	笑点
xkaodu	消毒
xkaoer	小儿
xkaofang	消防
xkaofei	消费
xkaofeipin	消费品
xkaofeizhe	消费者
xkaoguo	效果
xkaohai	小孩
xkaohaizi	小孩子
xkaohao	消耗
xkaohua	笑话
xkaohuozi	小伙子
xkaojie	小姐
xkaoli	效力
xkaoliang	销量
xkaolv	效率
xkaomai	小麦
xkaomie	消灭
xkaoneng	效能
xkaonvhai	小女孩
xkaopengyou	小朋友
xkaoqu	小区
xkaorong	笑容
xkaosheng	笑声
xkaoshi	小时
xkaoshihou	小时候
xkaoshinei	小时内
xkaoshou	销售
xkaoshoue	销售额
xkaoshuo	小说
xkaoxi	消息
xkaoxiao	小小
xkaoxin	小心
xkaoxing	小型
xkaoxue	小学
xkaoxuesheng	小学生
xkaoyao	逍遥
xkaoyi	效益
xkaoying	效应
xkaoyouxi	小游戏
xkaoyu	小于
xkaoyuan	校园
xkaozhang	校长
xkaozi	小子
xkaozu	小组
xkaqu	下去
xkashu	下属
xkatian	夏天
xkawu	下午
xkayibu	下一步
xkayige	下一个
xkayipi	下一批
xkayipian	下一篇
xkayiye	下一页
xkazai	下载
xkbanya	西班牙
xkbao	细胞
xkbei	西北
xkbu	西部
xkduo	许多
xkduoren	许多人
xke	些
xkebao	学报
xkechu	写出
xkedai	携带
xkedao	学到
xkede	写的
xkefei	学费
xkefen	学分
xkeguan	血管
xkehui	协会
xkeke	学科
xkele	写了
xkeli	学历
xkeqi	学期
xkeru	写入
xkeshang	协商
xkesheng	学生
xkeshi	学时
xkeshou	携手
xkeshu	学术
xketiao	协调
xketong	协同
xkewei	学位
xkexi	学习
xkexiao	学校
xkexie	谢谢
xkeye	血液
xkeyi	协议
xkeyuan	学院
xkezhe	学者
xkezhen	写真
xkezhu	协助
xkezi	鞋子
xkezilou	写字楼
xkezuo	写作
xkfang	西方
xkfen	细分
xkgua	西瓜
xkguan	习惯
xkhao	序号
xkhongshi	西红柿
xkhu	西湖
xkhuan	喜欢
xkji	袭击
xkjia	虚假
xkjie	细节
xkjing	洗净
xkjun	细菌
xkke	许可
xkkezheng	许可证
xkla	希腊
xklie	系列
xklu	西路
xkmenzi	西门子
xkn	新
xknan	西南
xknban	新版
xkncailiao	新材料
xknchanpin	新产品
xknche	新车
xkncheng	新城
xknchou	薪酬
xkndai	信贷
xknde	新的
xkndi	心底
xknfang	信访
xkng	行
xkngai	性爱
xkngbie	性别
xkngcheng	形成
xkngchengle	形成了
xkngdong	行动
xkngfa	刑法
xkngfen	兴奋
xkngfu	幸福
xkngfude	幸福的
xknggan	性感
xkngge	性格
xkngguang	星光
xknghao	型号
xkngji	星级
xkngjiabi	性价比
xkngjian	兴建
xkngjiao	性交
xknglai	醒来
xkngle	行了
xkngli	行李
xkngming	姓名
xkngneng	性能
xkngqi	兴起
